Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"Totally Awesome Hulk",1A,"Cho Time","Frank Cho Regular Cover","Marvel Comics","Dec 02, 2015",Comic,"Dec 20, 2015","Gregory Pak | Frank Cho"
"Totally Awesome Hulk",2A,"Cho Time, Part Two","Frank Cho Regular Cover","Marvel Comics","Jan 06, 2016",Comic,"Feb 21, 2016","Gregory Pak | Frank Cho"
"Totally Awesome Hulk",3A,"Cho Time","Frank Cho Regular Cover","Marvel Comics","Feb 10, 2016",Comic,"Feb 21, 2016","Gregory Pak | Frank Cho"
"Totally Awesome Hulk",4A,"Cho Time","Frank Cho Regular Cover","Marvel Comics","Mar 23, 2016",Comic,"Apr 09, 2016","Gregory Pak | Frank Cho"
"Totally Awesome Hulk",5A,"The Hulk in the Mirror, Part One","Frank Cho Regular Cover","Marvel Comics","Apr 20, 2016",Comic,"Jun 03, 2016","Gregory Pak | Mike Choi"
"Totally Awesome Hulk",6,"The Hulk in the Mirror, Part Two",,"Marvel Comics","May 25, 2016",Comic,"Jun 03, 2016","Gregory Pak | Mike Choi"
"Totally Awesome Hulk",9,"Civil War II ",,"Marvel Comics","Jul 27, 2016",Comic,"Feb 24, 2017","Gregory Pak | Michael del Mundo"
"Totally Awesome Hulk",10A,"Civil War II ","Regular Terry Dodson Cover","Marvel Comics","Sep 28, 2016",Comic,"Feb 24, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",11A,"Civil War II ","Regular Terry Dodson Cover","Marvel Comics","Oct 26, 2016",Comic,"Feb 24, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",12,"Civil War II ",,"Marvel Comics","Nov 30, 2016",Comic,"Jan 11, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",13A,,"Regular Bernard Chang Cover","Marvel Comics","Dec 14, 2016",Comic,"Jan 11, 2017","Gregory Pak | Luke Ross | German Peralta"
"Totally Awesome Hulk",15A,,"Regular Stonehouse Cover","Marvel Comics","Jan 25, 2017",Comic,"Feb 25, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",16,,,"Marvel Comics","Feb 08, 2017",Comic,"Feb 25, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",17A,,"Regular Stonehouse Cover","Marvel Comics","Mar 15, 2017",Comic,"Jul 09, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",18,,,"Marvel Comics","Apr 19, 2017",Comic,"Jul 09, 2017","Gregory Pak | Mahmud A. Asrar"
"Totally Awesome Hulk",19,,,"Marvel Comics","May 24, 2017",Comic,"Jul 09, 2017","Gregory Pak | Robert Gill"
"Totally Awesome Hulk",20,"Weapons of Mutant Destruction ",,"Marvel Comics","Jun 28, 2017",Comic,"Aug 06, 2017","Gregory Pak | Robert Gill"
"Totally Awesome Hulk",21,"Weapons of Mutant Destruction - Part 4",,"Marvel Comics","Jul 19, 2017",Comic,"Aug 06, 2017","Gregory Pak | Robert Gill"
"Totally Awesome Hulk",22,"Weapons of Mutant Destruction - Conclusion",,"Marvel Comics","Aug 16, 2017",Comic,"Jan 05, 2018","Gregory Pak | Robert Gill"
"Totally Awesome Hulk",23,,,"Marvel Comics","Sep 20, 2017",Comic,"Jan 05, 2018","Gregory Pak | Ibraim Roberson"
"Toy Story (Marvel Comics)",1,"Master Woody",,"Marvel Comics","Mar 07, 2012",Comic,"Feb 23, 2014",
Toyboy,6,,,"Continuity Comics","Nov 1988",Comic,"Feb 23, 2014","Cary Bates | Trevor von Eeden | Rudy Nebres"
Transformers,1A,"The Transformers",,"Marvel Comics","May 31, 1984",Comic,"Feb 23, 2014","Ralph Macchio | Bill Mantlo | Frank Springer"
Transformers,2,"Power Play",,"Marvel Comics","Jun 26, 1984",Comic,"Feb 23, 2014","Jim Salicrup | Bill Mantlo | Frank Springer"
Transformers,3,"Prisoner Of War",,"Marvel Comics","Oct 02, 1984",Comic,"Feb 23, 2014","Jim Salicrup | Frank Springer | Kim DeMulder"
Transformers,4,"The Last Stand",,"Marvel Comics","Dec 04, 1984",Comic,"Feb 23, 2014","Jim Salicrup | Frank Springer | Ian Akin"
Transformers,5,"The New Order",,"Marvel Comics","Mar 19, 1985",Comic,"Feb 23, 2014","Bob Budiansky | Alan Kupperberg"
Transformers,6,"The Worse Of Two Evils",,"Marvel Comics","Apr 16, 1985",Comic,"Feb 23, 2014","Bob Budiansky | Alan Kupperberg"
Transformers,7,"Warrior School",,"Marvel Comics","May 14, 1985",Comic,"Feb 23, 2014","Bob Budiansky | William Johnson | Kyle Baker"
Transformers,8,"Repeat Performance",,"Marvel Comics","Jun 18, 1985",Comic,"Feb 23, 2014","Bob Budiansky | William Johnson | Kyle Baker"
Transformers,9,"""Dis-Integrated Circuits!""",,"Marvel Comics","Jul 16, 1985",Comic,"Feb 23, 2014","Bob Budiansky | Mike Manley | Many Hands"
Transformers,10,"The Next Best Thing To Being There!",,"Marvel Comics","Aug 13, 1985",Comic,"Feb 23, 2014","Bob Budiansky | Ricardo Villamonte | Brad K. Joyce"
Transformers,11,Brainstorm,,"Marvel Comics","Sep 17, 1985",Comic,"Feb 23, 2014","Bob Budiansky | Herbert Waldo 'Herb' Trimpe | Thomas Palmer, Sr."
Transformers,12,"Prime Time",,"Marvel Comics","Jan 1986",Comic,"Feb 23, 2014","Bob Budiansky | Herb Trimpe | Al Gordon"
Transformers,13,"Shooting Star",,"Marvel Comics","Feb 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Al Gordon"
Transformers,14,"Rock And Roll Out!",,"Marvel Comics","Mar 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Al Gordon"
Transformers,15,"I, Robot Master",,"Marvel Comics","Apr 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Keith Williams"
Transformers,16,"Plight Of The Bumblebee!",,"Marvel Comics","May 1986",Comic,"Feb 23, 2014","Len Kaminski | Graham Nolan | Tom Morgan"
Transformers,17,"Return To Cybertron, Part 1",,"Marvel Comics","Jun 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Keith Williams"
Transformers,18,"The Bridge To Nowhere!",,"Marvel Comics","Jul 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Keith Williams"
Transformers,19,"Command Performances!",,"Marvel Comics","Aug 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,20,Showdown!,,"Marvel Comics","Sep 1986",Comic,"Feb 23, 2014","Bob Budiansky | Herb Trimpe | Ian Akin"
Transformers,21,"Aerialbots Over America!",,"Marvel Comics","Oct 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,22,"Heavy Traffic!",,"Marvel Comics","Nov 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,23,"Decepticon Graffiti!",,"Marvel Comics","Dec 1986",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,24,Afterdeath!,,"Marvel Comics","Jan 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,25,"Gone But Not Forgotten!",,"Marvel Comics","Feb 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,26,"Funeral For A Friend!",,"Marvel Comics","Mar 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Brett Breeding"
Transformers,27,"King Of The Hill!",,"Marvel Comics","Apr 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,28,"Mechanical Difficulties!",,"Marvel Comics","May 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,29,"Crater Critters",,"Marvel Comics","Jun 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,30,"The Cure!",,"Marvel Comics","Jul 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,31,"Buster Witwicky And The Car Wash Of Doom",,"Marvel Comics","Aug 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Jim Fern"
Transformers,32,"Used Autobots",,"Marvel Comics","Sep 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,33,"Man Of Iron",,"Marvel Comics","Oct 1987",Comic,"Feb 23, 2014","Steve 'S.J.' Parkhouse | John Ridgway"
Transformers,34,"Man Of Iron",,"Marvel Comics","Nov 1987",Comic,"Feb 23, 2014","Steve 'S.J.' Parkhouse | Michael Collins"
Transformers,35,"Child's Play",,"Marvel Comics","Dec 1987",Comic,"Feb 23, 2014","Bob Budiansky | Don Perlin | Ian Akin"
Transformers,36,Spacehikers!,,"Marvel Comics","Jan 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Ian Akin"
Transformers,37,"Toy Soldiers!",,"Marvel Comics","Feb 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Ian Akin"
Transformers,38,"Trial By Fire!",,"Marvel Comics","Mar 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,39,"The Desert Island Of Space!",,"Marvel Comics","Apr 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,40,"Pretender To The Throne!",,"Marvel Comics","May 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,41,Totaled!,,"Marvel Comics",1988,Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Danny Bulanadi"
Transformers,42,"People Power!",,"Marvel Comics","Jul 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,43,"The Big Broadcast Of 2006",,"Marvel Comics","Aug 1988",Comic,"Feb 23, 2014","Ralph Macchio | Alan Kupperberg | Dave Elliott"
Transformers,44,"The Cosmic Carnival",,"Marvel Comics","Sep 1988",Comic,"Feb 23, 2014","Bob Budiansky | Frank Springer | Danny Bulanadi"
Transformers,45,"Monstercon From Mars",,"Marvel Comics","Oct 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,46,"Ca$h And Car-Nage!",,"Marvel Comics","Nov 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Danny Bulanadi"
Transformers,47,"Club Con!",,"Marvel Comics","Dec 1988",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,48,"The Flames Of Boltax!",,"Marvel Comics","Jan 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Danny Bulanadi"
Transformers,49,"Cold War!",,"Marvel Comics","Feb 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Danny Bulanadi"
Transformers,50,"Dark Star",,"Marvel Comics","Mar 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,51,"The Man In The Machine!",,"Marvel Comics","Apr 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,52,"Guess Who The Mecannibals Are Having For Dinner?",,"Marvel Comics","May 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,53,"Recipe For Disaster!",,"Marvel Comics","Jun 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Dave Hunt"
Transformers,54,"King Con",,"Marvel Comics","Jul 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jose Delbo | Danny Bulanadi"
Transformers,55,"The Interplanetary Wrestling Championship!",,"Marvel Comics","Aug 1989",Comic,"Feb 23, 2014","Bob Budiansky | Jim Fern | Mike Gustovich"
Transformers,56,"Back From The Dead",,"Marvel Comics","Sep 1989",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Dave Hunt"
Transformers,57,"The Resurrection Gambit",,"Marvel Comics","Oct 1989",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Dave Hunt"
Transformers,58,"All The Familiar Faces",,"Marvel Comics","Nov 1989",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Dave Hunt"
Transformers,59,"Skin Deep",,"Marvel Comics","Nov 1989",Comic,"Feb 23, 2014","Simon Furman | Tom DeFalco | Dave Hunt"
Transformers,60,"Yesterday's Heroes",,"Marvel Comics","Dec 1989",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Dave Hunt"
Transformers,61,"Primal Scream",,"Marvel Comics","Dec 1989",Comic,"Feb 23, 2014","Simon Furman | Geoff Senior"
Transformers,62,"Matrix Quest, Birds Of Prey",,"Marvel Comics","Jan 1990",Comic,"Feb 23, 2014","Simon Furman | Geoff Senior"
Transformers,63,"Matix Quest, Kings Of The Wild Frontier",,"Marvel Comics","Feb 1990",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Dave Hunt"
Transformers,64,"Matrix Quest, Deadly Obsession",,"Marvel Comics","Mar 1990",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Al Williamson"
Transformers,65,"Matrix Quest, Part Four",,"Marvel Comics","Apr 1990",Comic,"Feb 23, 2014","Simon Furman | Geoff Senior"
Transformers,66,"Matrix Quest, All Fall Down",,"Marvel Comics","May 1990",Comic,"Feb 23, 2014","Simon Furman | Geoff Senior"
Transformers,67,"Rhythms Of Darkness!",,"Marvel Comics","Jun 1990",Comic,"Feb 23, 2014","Simon Furman | Jose Delbo | Danny Bulanadi"
Transformers,68,"The Human Factor",,"Marvel Comics","Jul 1990",Comic,"Feb 23, 2014","Simon Furman | Dwayne Turner"
Transformers,69,"Eye Of The Storm",,"Marvel Comics","Aug 1990",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Harry Candelario"
Transformers,70,"The Price Of Life!",,"Marvel Comics","Sep 1990",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,71,Surrender!,,"Marvel Comics","Oct 1990",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,72,"All This And Civil War 2",,"Marvel Comics",1990,Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,73,"Out Of Time",,"Marvel Comics","Dec 1990",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,74,"The Void!",,"Marvel Comics","Jan 1991",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,75,"On The Edge Of Extinction!",,"Marvel Comics","Feb 1991",Comic,"Feb 23, 2014","Simon Furman | Geoff Senior"
Transformers,76,,,"Marvel Comics","Mar 1991",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,77,,,"Marvel Comics","Apr 1991",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,78,"A Savage Circle",,"Marvel Comics","May 1991",Comic,"Feb 23, 2014",
Transformers,79,,,"Marvel Comics","Jun 1991",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
Transformers,80,,,"Marvel Comics","Jul 1991",Comic,"Feb 23, 2014","Simon Furman | Andrew Wildman | Stephen Baskerville"
"The Transformers (2019)",18B,,"Variant Bethany McGuire-Smith Cover","IDW Publishing","Mar 11, 2020",Comic,"Jul 01, 2021","Brian Ruckley | Umi Miyao | Bethany McGuire-Smith"
"The Transformers (2019)",19A,"Rise of the Decepticons, Part 1","Thomas Deer Cover A","IDW Publishing","Mar 18, 2020",Comic,"Jul 01, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",20A,"Rise of the Decepticons, Transformers Rise Of The Decepticons","Regular Ed Pirrie Cover","IDW Publishing","Jun 17, 2020",Comic,"Jul 03, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",23B,,"Variant Aline Herzspalter Baumgartner Cover","IDW Publishing","Sep 30, 2020",Comic,"Jul 03, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",26A,,"Freddie E. Williams Cover","IDW Publishing","Jan 06, 2021",Comic,"Jun 14, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",27A,,"Regular Livio Ramondelli Cover","IDW Publishing","Jan 20, 2021",Comic,"Jun 14, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",28A,"War World, Part 4","Casey W. Coller & John-Paul Bove Cover A","IDW Publishing","Mar 31, 2021",Comic,"Jun 14, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",29A,"War World, Titans","Regular Anna Malkova Cover","IDW Publishing","May 19, 2021",Comic,"Jun 14, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",30A,"War World, We Are Not Meant To Be Darkness","Stefano Simeone Cover","IDW Publishing","May 19, 2021",Comic,"Jun 14, 2021",
"The Transformers (2019)",31A,,,"IDW Publishing","Jun 23, 2021",Comic,"Jun 26, 2021",
"The Transformers (2019)",32A,,,"IDW Publishing","Jul 14, 2021",Comic,"Jul 16, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",33A,"Lord of Misrule, Swindle's II",,"IDW Publishing","Aug 04, 2021",Comic,"Aug 08, 2021",
"The Transformers (2019)",34A,"Lord of Misrule, Sea of Rust I","Regular Winston Chan Cover","IDW Publishing","Sep 01, 2021",Comic,"Sep 17, 2021","Brian Ruckley | Anna Malkova"
"The Transformers (2019)",35B,,,"IDW Publishing","Sep 22, 2021",Comic,"Sep 24, 2021",
"The Transformers (2019)",36A,,"Anna Malkova Cover","IDW Publishing","Oct 27, 2021",Comic,"Nov 03, 2021",
"Transformers (UK) Collected Comics",1,"The Story Begins...",,"Marvel Comics",1985,"Trade Paperback","Feb 23, 2014","Jim Salicrup | Frank Springer | Kim DeMulder"
"Transformers (UK) Collected Comics",2,,,"Marvel Comics",1985,"Trade Paperback","Feb 23, 2014","Bob Budiansky | Jim Salicrup | Alan Kupperberg"
"The Transformers / Back To The Future",2B,,"Variant Phil Murphy Cover","IDW Publishing","Dec 23, 2020",Comic,"Jun 14, 2021","Cavan Scott | Juan Samu"
"The Transformers / Back To The Future",3A,,"Juan Samu Cover","IDW Publishing","Mar 03, 2021",Comic,"Jun 14, 2021","Cavan Scott | Juan Samu"
"The Transformers / Back To The Future",4A,,,"IDW Publishing","Jun 09, 2021",Comic,"Jun 26, 2021","Cavan Scott | Juan Samu"
"Transformers / Ghostbusters",1A,"Ghosts of Cybertron",,"IDW Publishing","Jun 26, 2019",Comic,"Jul 11, 2019","Erik Burnham | Dan Schoening"
"Transformers Annual 2017",2A,Light/Star,"Alex Milne Cover","IDW Publishing","Jun 09, 2021",Comic,"Jul 03, 2021",
"Transformers Generation 1, Vol. 1",1F,,Decepticon,"Dreamwave Productions","Apr 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 1, Vol. 1",2A,"Part 2",Autobots,"Dreamwave Productions","May 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 1, Vol. 1",3B,"Part 3",Decepticon,"Dreamwave Productions","Jun 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 1, Vol. 1",4A,"Part 4",Autobots,"Dreamwave Productions","Jul 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 1, Vol. 1",5A,"Part 5",Autobots,"Dreamwave Productions","Aug 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 1, Vol. 1",6A,"Part 6",Decepticon,"Dreamwave Productions","Oct 2002",Comic,"Feb 23, 2014","Chris Sarracini | Pat Lee | Rob Armstrong"
"Transformers Generation 2",1A,,,"Marvel Comics","Nov 1993",Comic,"Feb 23, 2014","Simon Furman | Derek Yaniger"
"Transformers Generation 2",1B,"War Without End!","Foil Stamped Cover","Marvel Comics","Nov 1993",Comic,"Feb 23, 2014","Simon Furman | Derek Yaniger"
"Transformers Generation 2",3,"Primal Fear",,"Marvel Comics","Jan 1994",Comic,"Feb 23, 2014","Simon Furman | Manny Galan | Jim Amash"
"Transformers Universe",4,,,"Marvel Comics",1987,Comic,"Feb 23, 2014","Bob Budiansky | Ian Akin | Brian Garvey"
"Transformers: Armada / Energon",1A,,,"Dreamwave Productions","Jul 2002",Comic,"Feb 23, 2014","Chris Sarracini | James Raiz | Rob Armstrong"
"Transformers: Armada / Energon",2,,,"Dreamwave Productions","Aug 2002",Comic,"Feb 23, 2014","Chris Sarracini | James Raiz | Rob Armstrong"
"Transformers: Beast Wars, Vol. 2",8A,"Pod, Part 2",,"IDW Publishing","Sep 22, 2021",Comic,"Sep 24, 2021","Erik Burnham | Winston Chan"
"Transformers: Headmasters",1,"Ring Of Hate",,"Marvel Comics","Jul 1987",Comic,"Feb 23, 2014","Bob Budiansky | Frank Springer | Ian Akin"
"Transformers: Headmasters",2,"Broken Glass",,"Marvel Comics","Sep 1987",Comic,"Feb 23, 2014","Bob Budiansky | Frank Springer | Ian Akin"
"Transformers: Headmasters",4,"Brothers In Armor",,"Marvel Comics","Jan 1988",Comic,"Feb 23, 2014","Bob Budiansky | Frank Springer | Ian Akin"
"Transformers: In 3-D",1,"The Test",,"Blackthorne Publishing","Dec 1987",Comic,"Feb 23, 2014",
"Transformers: In 3-D",2,,,"Blackthorne Publishing","Dec 1987",Comic,"Feb 23, 2014","Andrea Lafrance | Dennis Francis"
"Transformers: King Grimlock",1A,"Grimlock the Rebel",,"IDW Publishing","Aug 04, 2021",Comic,"Aug 08, 2021","Steve Orlando | Agustin Padilla"
"Transformers: King Grimlock",2A,"Grimlock the Defender","Regular Alex Horley Cover","IDW Publishing","Sep 01, 2021",Comic,"Sep 17, 2021","Steve Orlando | Agustin Padilla"
"Transformers: Shattered Glass",1A,,,"IDW Publishing","Aug 25, 2021",Comic,"Sep 17, 2021",
"Transformers: The Movie",1,"The Planet Eater",,"Marvel Comics","Dec 1986",Comic,"Feb 23, 2014","Ralph Macchio | Don Perlin | Ian Akin"
Trees,1,,,"Image Comics","May 28, 2014",Comic,"Jun 14, 2014","Warren Ellis | Jason Howard"
Trees,2,,,"Image Comics","Jun 25, 2014",Comic,"Jul 16, 2014","Warren Ellis | Jason Howard"
Trees,3,,,"Image Comics","Jul 23, 2014",Comic,"Aug 16, 2014","Warren Ellis | Jason Howard"
Trinity,1,"Boys And Their Games... / In The Morrows To Come",,"DC Comics","Jun 04, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Scott McDaniel"
Trinity,2,"A Personal Best At Giant Robot Smashing / It's Gonna Throw The Car",,"DC Comics","Jun 11, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Tom Derenick"
Trinity,3,"Kplow / Earth To Rita",,"DC Comics","Jun 18, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Jerry Ordway"
Trinity,4,"Caped Simioid Thinks So, Hm? / World-Something...",,"DC Comics","Jun 25, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Scott McDaniel"
Trinity,5,"Great. Now He's Holding His Breath / Knight In Shiny Armor",,"DC Comics","Jul 02, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Fabian Nicieza | Mark Bagley"
Trinity,6,"Truth, Justice And The America Way / Almost",,"DC Comics","Jul 09, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Scott McDaniel"
Trinity,7,"A Third Symbol Now... / Away From Creation",,"DC Comics","Jul 16, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Tom Derenick"
Trinity,8,"Have You Tied Him Up Yet? / Dreams Of Power",,"DC Comics","Jul 23, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Scott McDaniel"
Trinity,9,"Crumbs In The Forest / Making The Pieces Fit",,"DC Comics","Jul 30, 2008",Comic,"Feb 23, 2014","Kurt Busiek | Mark Bagley | Scott McDaniel"
"Trinity of Sin: Pandora",1A,"Trinity War - Three Million Days","Ryan Sook Regular Cover","DC Comics","Jul 03, 2013",Comic,"Feb 23, 2014","Ray Fawkes | Patrick Zircher | Daniel Sampere"
"Trinity of Sin: Pandora",2A,"Trinity War - Drawing Blood","Ryan Sook Regular Cover","DC Comics","Jul 31, 2013",Comic,"Feb 23, 2014","Ray Fawkes | Daniel Sampere | Vicente Cifuentes"
"Trinity of Sin: Pandora",3A,"Trinity War - Kick The Flood","Ryan Sook Regular Cover","DC Comics","Aug 21, 2013",Comic,"Feb 23, 2014","Ray Fawkes | Daniel Sampere | Vicente Cifuentes"
"Trinity of Sin: Pandora",6,"Forever Evil - Forever Evil: Blight, Part Five: Precious Little",,"DC Comics","Dec 18, 2013",Comic,"May 14, 2014","Ray Fawkes | Staz Johnson | Francis Portela"
"Trinity of Sin: Pandora",7,"Forever Evil - Forever Evil: Blight, Part Nine: The Response",,"DC Comics","Jan 22, 2014",Comic,"May 14, 2014","Ray Fawkes | Staz Johnson | Francis Portela"
"Trinity of Sin: Pandora",8,"Forever Evil - Blight, Part Thirteen: Eyes Open",,"DC Comics","Feb 19, 2014",Comic,"May 14, 2014","Ray Fawkes | Francis Portela"
"Trinity of Sin: Pandora",9,"Forever Evil - Blight, Part Seventeen: The Battle of Nanda Parbat",,"DC Comics","Mar 19, 2014",Comic,"May 16, 2014","Ray Fawkes | Francis Portela"
"Trinity Of Sin: Pandora: Futures End",1A,"Futures End, Sacrifice","3D Cover","DC Comics","Sep 17, 2014",Comic,"Oct 18, 2014","Ray Fawkes | Francis Portela | Tom Derenick"
"Trinity Of Sin: Phantom Stranger: Futures End",1A,"Futures End, The Last Coin","3D Cover","DC Comics","Sep 03, 2014",Comic,"Oct 18, 2014","Dan DiDio | J.M. DeMatteis | Phil Winslade"
Troll,1,"A Troll's Tale",,"Image Comics","Dec 1993",Comic,"Feb 23, 2014","Rob Liefeld | Jeff Matsuda | Marlo Alquiza"
"Troll II",1,,,"Image Comics","Jul 1994",Squarebound,"Feb 23, 2014","Karl Altstaetter | Norm Rapmund | Marlo Alquiza"
"Troll: Once a Hero",1,,,"Image Comics","Aug 1994",Comic,"Feb 23, 2014","Eldon Asp | Gabe Alberola | Pedi"
"Trollords, Vol. 1",5,"Something In The Woodwork",,"Tru Studios",1986,Comic,"Feb 23, 2014",
"True Believers: Conan Serpent War - The Valley Of The Worm",,,,"Marvel Comics","Dec 04, 2019",Comic,"Dec 22, 2019","Gil Kane | Ernie Chua"
"Truth & Justice",1A,"The Pantheon","Regular ChrisCross Cover","DC Comics","Feb 17, 2021",Comic,"Jun 14, 2021","Geoffrey Thorne | ChrisCross | Jordi Tarragona"
"Truth & Justice",2A,"Revolving Door","Regular Khary Randolph Cover","DC Comics","Mar 16, 2021",Comic,"Jun 14, 2021","Brandon Easton | Jahnoy Lindsay"
"Truth & Justice",3A,"Save Yourself","Doug Braithwaite Regular Cover","DC Comics","Apr 20, 2021",Comic,"Jun 14, 2021","Danny Lore | Adriana Melo | Ray-Anthony Height"
"Truth & Justice",4B,,"Sanford Greene Card Stock Variant Edition","DC Comics","May 18, 2021",Comic,"Jun 14, 2021","Jeff Trammell | Rob Guillory"
"Truth & Justice",5B,,"Yasmine Putri Variant Cover","DC Comics","Jun 15, 2021",Comic,"Jun 18, 2021","Grace Ellis | Maria Laura Sanapo"
"Truth & Justice",6A,,"Regular Juni Ba Cover","DC Comics","Jul 20, 2021",Comic,"Jul 22, 2021","Andrew Aydin | Juni Ba"
